objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,https://stream.nyu.edu/media/uptown-traffic/1_sl1tpdws,,,uptown traffic,amanda belantara,07-07-24,"Field recording of traffic from a bridge in West Harlem, NYC",traffic sounds,"West Harlem, NYC, NY",,,"personal archive, Amanda Belantara",,Audio,audio/wav,,,
coll003,https://stream.nyu.edu/media/Yamayaki/1_o8fn47un,,,yamayaki,amanda belantara,02-14-09,Field recording of a controlled burn at Akiyoshidai,fire,"Akiyoshidai, Yamaguchi, Japan",,,"personal archive, Amanda Belantara",,Audio,audio/wav,,,
coll004,https://stream.nyu.edu/media/rain_kareizawa/1_lcmmdjri,,,Kareizawa rain,amanda belantara,07-20-2011,Field recording of rain inside a tatami room,rainstorms,"Kareizawa, Aomori, Japan",,,"personal archive, Amanda Belantara",,Audio,audio/wav,,,
coll005,https://stream.nyu.edu/media/coqui/1_phq9g6mx,,,Coqui,amanda belantara,07-23-2014,Field recording of coqui frogs,coqui,Puerto Rico,,,"personal archive, Amanda Belantara",,,audio/wav,,,
coll006,https://stream.nyu.edu/media/Community+of+Mothers/1_jboivmmb,,,Community of mothers,amanda belantara,01-10-2014,Field recording of baby drinking,,"Harlem, NYC, NY",,,"personal archive, Amanda Belantara",,,audio/wav,,,
coll007,https://soundcloud.com/user-490938359/cataloging?in=user-490938359/sets/catalogers-at-work,,,Cataloging,amanda belantara,03-05-2016,A cataloging librarian catalogs,cataloging,"Manhattan, NYC, NY",,,"personal archive, Amanda Belantara",,Audio,audio/wav,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,